User	Jardine_Concept to Text	Jardine_Distributional Semantics	Jardine_Domain Adaptation	Jardine_Information Extraction	Jardine_Lexical Semantics	Jardine_Parser Evaluation	Jardine_Statistical Machine Translation Models	Jardine_Statistical Parsing	TechKnAcq-Jardine_Concept to Text	TechKnAcq-Jardine_Distributional Semantics	TechKnAcq-Jardine_Domain Adaptation	TechKnAcq-Jardine_Information Extraction	TechKnAcq-Jardine_Lexical Semantics	TechKnAcq-Jardine_Parser Evaluation	TechKnAcq-Jardine_Statistical Machine Translation Models	TechKnAcq-Jardine_Statistical Parsing	TechKnAcq-only_Coreference Resolution	TechKnAcq-only_Machine Translation	TechKnAcq-only_Morphological Segmentation	TechKnAcq-only_Parsing	TechKnAcq-only_Question Answering	TechKnAcq-only_Sentiment Analysis	TechKnAcq-only_Speech Recognition	TechKnAcq-only_Word Sense Disambiguation
Original	['H05-1042', 'D09-1005', 'W98-1411', 'P04-1011', 'P95-1034', 'P09-1011', 'W05-1506', 'P07-1019', 'J07-2003', 'J93-2003', 'P02-1040', 'N07-1022', 'A00-2026', 'P00-1041', 'C10-2062', 'D08-1082']	['P93-1024', 'P99-1004', 'C04-1146', 'J07-2002', 'P02-1030', 'P98-2127', 'P08-1068', 'D09-1098', 'J01-3003', 'P04-1036', 'P07-1028', 'J98-1004', 'D08-1094', 'P08-1028']	['W01-0521', 'P07-1033', 'W06-1615', 'W08-1302', 'N04-4006', 'W07-2202', 'P06-1043', 'D08-1050', 'D07-1112', 'P07-1034', 'P07-1056']	['D09-1001', 'P09-1113', 'P07-1107', 'D09-1120', 'D08-1112', 'N04-4028', 'P08-1090', 'N07-4013', 'P04-1054']	['P98-1013', 'W04-2604', 'P03-2030', 'J05-1004', 'N06-2015', 'N07-1071', 'N07-1069', 'W04-2807', 'J02-3001', 'W05-0620', 'W05-0625', 'W05-0623', 'N06-1017', 'P09-2019']	['H91-1060', 'P06-2006', 'D09-1085', 'W08-1307']	['P08-1024', 'D08-1023', 'P05-1033', 'N04-1035', 'N09-1025']	['J03-4003', 'J07-4004', 'P02-1035', 'P95-1037', 'J93-1002', 'J98-4004', 'P96-1025', 'W97-0301', 'P99-1069', 'P05-1012', 'C04-1010', 'P08-1108', 'C96-1058', 'P02-1043', 'P01-1010', 'P04-1013', 'P05-1011', 'C92-2065', 'C02-1013', 'W07-2207', 'N07-1051', 'P03-1054']	['acl-J98-3001', 'wiki-lexical_choice', 'wiki-content_determination', 'acl-W13-2103', 'acl-C02-1138', 'acl-E03-2016']	['wiki-semantic_similarity', 'wiki-second-order_co-occurrence_pointwise_mutual_information', 'acl-P13-4006', 'wiki-latent_semantic_analysis', 'acl-J05-4002', 'acl-S12-1085', 'acl-D09-1084']	['wiki-domain_adaptation', 'acl-W10-0104', 'acl-E09-1006', 'acl-N10-1004', 'acl-W10-2603', 'acl-N09-1032']	['acl-X93-1012', 'acl-J93-3001', 'acl-M95-1002', 'acl-X96-1047', 'acl-E12-1034', 'acl-W12-2412', 'acl-W06-0901', 'acl-D12-1062', 'acl-D07-1075', 'acl-M91-1007', 'acl-M91-1004']	['acl-C82-1018', 'acl-E83-1022', 'acl-C00-2111', 'acl-E09-1069', 'acl-T78-1008', 'acl-N10-1032', 'acl-D07-1050', 'acl-H89-2011', 'acl-N10-1059', 'acl-W09-3729']	['wiki-parse_tree', 'wiki-terminal_and_non-terminal_functions', 'acl-J08-4003', 'wiki-beam_search', 'acl-D12-1029', 'acl-E12-1008', 'acl-C92-1032', 'acl-J03-1006', 'acl-P92-1006', 'acl-H92-1025', 'acl-C08-1071', 'acl-P05-1022', 'acl-H05-1099']	['wiki-hybrid_machine_translation', 'acl-P13-1140', 'acl-D11-1019', 'acl-W13-0805', 'acl-C04-1005', 'acl-P10-1034', 'acl-D10-1043', 'acl-P13-4014', 'wiki-lepor', 'wiki-machine_translation', 'acl-W13-2247', 'acl-P10-1064', 'acl-J04-4002', 'acl-J94-2001', 'acl-W02-1021', 'acl-J03-1005', 'acl-D12-1088', 'acl-P10-1049', 'acl-W13-2238']	['wiki-parse_tree', 'wiki-terminal_and_non-terminal_functions', 'acl-J08-4003', 'wiki-beam_search', 'acl-D12-1029', 'acl-E12-1008', 'acl-C92-1032', 'acl-J03-1006', 'acl-P92-1006', 'acl-H92-1025', 'acl-C08-1071', 'acl-P05-1022', 'acl-H05-1099']	['acl-C10-1017', 'acl-N13-2001', 'acl-D13-1028', 'acl-D13-1027', 'acl-D12-1114', 'acl-I05-2040']	['wiki-machine_translation', 'wiki-statistical_machine_translation', 'acl-J04-4002', 'wiki-hybrid_machine_translation', 'acl-W02-1021', 'acl-J03-1005', 'acl-J85-1001', 'acl-C82-2066', 'acl-P13-4014', 'wiki-lepor', 'acl-W13-2247', 'acl-P10-1064', 'acl-C96-2178', 'acl-P09-1018', 'acl-C92-2080']	['wiki-morphology_(linguistics)', 'wiki-word_stem', 'acl-E87-1022', 'acl-W04-0111', 'acl-J08-3003', 'acl-W96-0207', 'acl-W12-3903', 'acl-W08-2117', 'acl-W04-0108']	['acl-J08-4003', 'acl-J11-1007', 'wiki-beam_search', 'wiki-parse_tree', 'acl-J03-1006', 'acl-D12-1030', 'acl-P12-1110', 'acl-D12-1029', 'acl-E12-1008', 'acl-S12-1058']	['wiki-question_answering', 'acl-W08-1802', 'acl-N07-1066', 'acl-W04-2509', 'acl-N04-1008', 'acl-E06-3005']	['acl-S13-2083', 'acl-H05-1044', 'acl-C10-2036', 'acl-S13-2091', 'acl-J09-3003', 'acl-S13-2090']	['acl-P99-1002', 'wiki-speech_recognition', 'acl-H89-2038', 'acl-H91-1054', 'acl-J90-3003', 'acl-P93-1007', 'acl-H89-2002', 'acl-J94-1002', 'acl-W06-1302', 'acl-N04-1017', 'acl-I08-8005']	['wiki-classic_monolingual_word-sense_disambiguation', 'wiki-word_sense', 'acl-N07-1025', 'acl-C10-1019', 'acl-I05-1080', 'acl-C02-1097']
0	['H05-1042', 'D09-1005', 'W98-1411', 'P04-1011', 'P95-1034', 'P09-1011', 'W05-1506', 'P07-1019', 'J07-2003', 'J93-2003', 'P02-1040', 'N07-1022', 'A00-2026', 'P00-1041', 'C10-2062', 'D08-1082']			['D09-1001', 'P09-1113', 'P07-1107', 'D09-1120', 'D08-1112', 'N04-4028', 'P08-1090', 'N07-4013', 'P04-1054']	['P98-1013', 'W04-2604', 'P03-2030', 'J05-1004', 'N06-2015', 'N07-1071', 'N07-1069', 'W04-2807', 'J02-3001', 'W05-0620', 'W05-0625', 'W05-0623', 'N06-1017', 'P09-2019']				['J98-3001', 'lexical_choice', 'content_determination', 'W13-2103', 'C02-1138', 'E03-2016']			['X93-1012', 'J93-3001', 'M95-1002', 'X96-1047', 'E12-1034', 'W06-0901', 'W12-2412', 'D12-1062', 'D07-1075', 'M91-1007', 'M91-1004']	['C82-1018', 'E83-1022', 'C00-2111', 'E09-1069', 'T78-1008', 'N10-1032', 'D07-1050', 'H89-2011', 'N10-1059', 'W09-3729']							['J08-4003', 'J11-1007', 'beam_search', 'parse_tree', 'J03-1006', 'D12-1030', 'P12-1110', 'D12-1029', 'E12-1008', 'S12-1058']		['S13-2083', 'H05-1044', 'S13-2091', 'J09-3003', 'S13-2090', 'C10-2036']	['P99-1002', 'speech_recognition', 'H89-2038', 'H91-1054', 'J90-3003', 'P93-1007', 'H89-2002', 'J94-1002', 'W06-1302', 'N04-1017', 'I08-8005']	
1					['J05-1004', 'N06-2015', 'P98-1013', 'P03-2030', 'W04-2807', 'N07-1071', 'J02-3001', 'N07-1069', 'W05-0620', 'P09-2019', 'W04-2604', 'W05-0625', 'W05-0623']		['N04-1035', 'P05-1033', 'P08-1024', 'D08-1023', 'N09-1025']	['P96-1025', 'W97-0301', 'J98-4004', 'P01-1010', 'N07-1051', 'C96-1058', 'C04-1010', 'P05-1012', 'P08-1108', 'J03-4003', 'P05-1011', 'P02-1043', 'J07-4004', 'C92-2065', 'P03-1054']					['T78-1008', 'C82-1018', 'E83-1022', 'H89-2011', 'C00-2111', 'D07-1050', 'E09-1069', 'W09-3729', 'N10-1059', 'N10-1032']		['machine_translation', 'J04-4002', 'J03-1005', 'D12-1088', 'P13-1140', 'W13-0805', 'W13-2238', 'P10-1049', 'P10-1034', 'D11-1019', 'D10-1043', 'P10-1064']	['parse_tree', 'terminal_and_non-terminal_functions', 'beam_search', 'H05-1099', 'P05-1022', 'C08-1071', 'J08-4003', 'E12-1008', 'D12-1029']		['machine_translation', 'statistical_machine_translation', 'W02-1021', 'J03-1005', 'J04-4002', 'P09-1018', 'P10-1064']	['morphology_(linguistics)', 'word_stem', 'W12-3903']	['J08-4003', 'J11-1007', 'beam_search', 'parse_tree', 'J03-1006', 'D12-1030', 'P12-1110', 'D12-1029', 'E12-1008', 'S12-1058']				
2	['H05-1042', 'W98-1411', 'P04-1011', 'P95-1034', 'P09-1011', 'W05-1506', 'A00-2026', 'C10-2062', 'D08-1082', 'P07-1019']		['P07-1033', 'W06-1615', 'P07-1034', 'W08-1302', 'P07-1056', 'N04-4006', 'W07-2202', 'P06-1043', 'D08-1050', 'D07-1112']	['N04-4028', 'N07-4013', 'P04-1054', 'P09-1113', 'D09-1001', 'P07-1107', 'D09-1120']					['content_determination', 'C02-1138', 'J98-3001', 'E03-2016', 'W13-2103', 'lexical_choice']		['domain_adaptation', 'W10-0104', 'N10-1004', 'E09-1006', 'W10-2603', 'N09-1032']	['X93-1012', 'D07-1075', 'W06-0901', 'W12-2412', 'J93-3001', 'M95-1002', 'X96-1047', 'M91-1007', 'M91-1004']									['question_answering', 'N04-1008', 'N07-1066', 'W04-2509', 'E06-3005', 'W08-1802']	['S13-2083', 'S13-2090', 'H05-1044', 'C10-2036', 'S13-2091', 'J09-3003']	['speech_recognition', 'P99-1002', 'I08-8005', 'H89-2038', 'H91-1054', 'P93-1007', 'W06-1302']	
3				['N07-4013', 'D09-1120', 'P09-1113', 'D08-1112', 'N04-4028', 'D09-1001', 'P07-1107', 'P08-1090', 'P04-1054']	['W05-0625', 'P09-2019', 'J02-3001', 'J05-1004', 'W04-2604', 'P98-1013', 'P03-2030', 'N06-2015', 'N07-1071', 'N07-1069', 'W04-2807', 'W05-0620', 'W05-0623', 'N06-1017']	['W08-1307', 'D09-1085', 'H91-1060', 'P06-2006']						['X93-1012', 'D07-1075', 'W06-0901', 'W12-2412', 'D12-1062', 'J93-3001', 'M91-1007', 'M91-1004', 'M95-1002', 'X96-1047', 'E12-1034']	['D07-1050', 'H89-2011', 'N10-1059', 'C82-1018', 'E83-1022', 'C00-2111', 'E09-1069', 'T78-1008', 'N10-1032', 'W09-3729']	['parse_tree', 'H05-1099', 'P92-1006', 'D12-1029', 'C08-1071', 'J08-4003', 'terminal_and_non-terminal_functions', 'beam_search', 'E12-1008', 'C92-1032', 'J03-1006', 'H92-1025', 'P05-1022']								['S13-2091', 'H05-1044', 'S13-2083', 'C10-2036', 'S13-2090', 'J09-3003']	['speech_recognition', 'P99-1002', 'H89-2038', 'H91-1054', 'J90-3003', 'P93-1007', 'H89-2002', 'J94-1002', 'W06-1302', 'N04-1017', 'I08-8005']	['word_sense', 'N07-1025', 'classic_monolingual_word-sense_disambiguation', 'I05-1080', 'C02-1097', 'C10-1019']
4	['A00-2026', 'H05-1042', 'P04-1011', 'D08-1082', 'W98-1411', 'P95-1034', 'P09-1011', 'N07-1022']		['W01-0521', 'W08-1302', 'P07-1033', 'W06-1615', 'P06-1043', 'Domain adaptation in natural language processing J Jiang - 2008 ', 'N04-4006', 'W07-2202', 'D08-1050', 'D07-1112', 'P07-1034', 'P07-1056', 'Domain adaptation for statistical classifiers H Daume III, D Marcu - Journal of Artificial Intelligence Research, 2006 - jair.org', 'Improving performance of natural language processing part-of-speech tagging on clinical narratives through domain adaptation JP Ferraro, H DaumÃ©, SL DuVallâ€¦ - Journal of the â€¦, 2013 - jamia.oxfordjournals.org']	['D09-1001', 'P09-1113', 'P07-1107', 'D09-1120', 'D08-1112', 'N04-4028', 'P08-1090', 'N07-4013', 'P04-1054']			['P08-1024', 'D08-1023', 'P05-1033', 'N04-1035', 'N04-1035']		['J98-3001', 'C02-1138', 'E03-2016', 'lexical_choice', 'content_determination', 'W13-2103']		['domain_adaptation', 'W10-0104', 'E09-1006', 'N10-1004', 'W10-2603', 'N09-1032']	['X93-1012', 'M95-1002', 'X96-1047', 'E12-1034', 'W12-2412', 'W06-0901', 'D12-1062', 'Emerging Technologies of Text Mining: Techniques and Applications: Techniques and Applications HA Do Prado - 2007', 'D07-1075', 'M91-1007', 'M91-1004', "Overview of BioNLP'09 shared task on event extraction JD Kim, T Ohta, S Pyysalo, Y Kano, J Tsujii - Proceedings of the â€¦, 2009 - dl.acm.org"]			['hybrid_machine_translation', 'C04-1005', 'machine_translation', 'P13-4014', 'D11-1019', 'P10-1034', 'W13-0805', 'D10-1043', 'lepor', 'P13-1140', 'W13-2247', 'P10-1064', 'J04-4002', 'J94-2001', 'W02-1021', 'D12-1088', 'P10-1049', 'Philipp Koehn. Europarl: A Parallel Corpus for Statistical Machine Translation. MT Summit 2005. http://www.iccs.inf.ed.ac.uk/~pkoehn/publications/europarl-mtsummit05.pdf', 'W13-2238', 'Moses: Open source toolkit for statistical machine translation P Koehn, H Hoang, A Birch, C Callison-Burchâ€¦ - Proceedings of the 45th â€¦, 2007 - dl.acm.org']			['machine_translation', 'statistical_machine_translation', 'hybrid_machine_translation', 'J04-4002', 'J85-1001', 'P10-1064', 'W02-1021', 'J03-1005', 'C82-2066', 'P13-4014', 'lepor', 'W13-2247', 'C96-2178', 'P09-1018']					['P99-1002', 'speech_recognition', 'H89-2038', 'H91-1054', 'P93-1007', 'H89-2002', 'J94-1002', 'W06-1302', 'N04-1017', 'I08-8005', 'J90-3003']	['classic_monolingual_word-sense_disambiguation', 'word_sense', 'N07-1025', 'C10-1019', 'I05-1080', 'C02-1097']
5	['P09-1011', 'H05-1042', 'W98-1411', 'P02-1040', 'P04-1011', 'P95-1034', 'C10-2062', 'D09-1005', 'W05-1506', 'P07-1019', 'J07-2003', 'J93-2003', 'N07-1022', 'A00-2026', 'P00-1041', 'D08-1082']	['P93-1024', 'P99-1004', 'P02-1030', 'C04-1146', 'D08-1094', 'J07-2002', 'P98-2127', 'P08-1068', 'D09-1098', 'J01-3003', 'P04-1036', 'P07-1028', 'J98-1004', 'P08-1028']		['P07-1107', 'D09-1120', 'D08-1112', 'P08-1090', 'P09-1113', 'N07-4013', 'D09-1001']					['J98-3001', 'E03-2016', 'W13-2103', 'C02-1138', 'content_determination', 'lexical_choice']	['P13-4006', 'D09-1084', 'S12-1085', 'J05-4002', 'semantic_similarity', 'latent_semantic_analysis', 'second-order_co-occurrence_pointwise_mutual_information']		['X93-1012', 'E12-1034', 'J93-3001', 'D07-1075', 'M95-1002', 'W06-0901', 'D12-1062', 'M91-1007']					['D12-1114', 'N13-2001', 'D13-1028', 'D13-1027', 'C10-1017', 'I05-2040']				['W08-1802', 'N07-1066', 'N04-1008', 'W04-2509', 'E06-3005']	['H05-1044', 'J09-3003', 'S13-2083', 'S13-2091', 'S13-2090']		
6		['Tomas Mikolov, Ilya Sutskever, Kai Chen, Greg Corrado, Jeffrey Dean, 2013, Distributed Representations of Words and Phrases and their Compositionality', 'D09-1098', 'D08-1094', 'P93-1024', 'P99-1004', 'C04-1146', 'J07-2002', 'P02-1030', 'P98-2127', 'P08-1068', 'J01-3003', 'P04-1036', 'P07-1028', 'J98-1004', 'P08-1028']		['N07-4013', 'N04-4028', 'P09-1113', 'D09-1120', 'P07-1107', 'D08-1112', 'D09-1001', 'P08-1090', 'P04-1054']	['N06-2015', 'P98-1013', 'J02-3001', 'P03-2030', 'W04-2604', 'J05-1004', 'N07-1071', 'N07-1069', 'W04-2807', 'W05-0620', 'W05-0625', 'W05-0623', 'N06-1017', 'P09-2019']					['D09-1084', 'semantic_similarity', 'second-order_co-occurrence_pointwise_mutual_information', 'P13-4006', 'latent_semantic_analysis', 'J05-4002', 'S12-1085']		['X93-1012', 'E12-1034', 'J93-3001', 'D12-1062', 'X96-1047', 'W12-2412', 'W06-0901', 'M95-1002', 'D07-1075', 'M91-1007', 'M91-1004']	['D07-1050', 'C82-1018', 'E09-1069', 'George A. Miller, Richard Beckwith, Christiane Fellbaum, Derek Gross, and Katherine Miller, 1993, Introduction to WordNet: An On-line Lexical Database', 'N10-1032', 'T78-1008', 'E83-1022', 'C00-2111', 'H89-2011', 'N10-1059', 'W09-3729']					['W02-1021', 'hybrid_machine_translation', 'J04-4002', 'Joshua Goodman, 2001, A Bit of Progress in Language Modeling', 'J03-1005', 'statistical_machine_translation', 'J85-1001', 'C82-2066', 'P13-4014', 'machine_translation', 'lepor', 'W13-2247', 'P10-1064', 'C96-2178', 'P09-1018', 'C92-2080']				['Soo-Min Kim, Eduard Hovy, 2004, Determining the sentiment of opinions', 'Bo Pang and Lillian Lee, 2008, Opinion mining and sentiment analysis', 'S13-2091', 'H05-1044', 'J09-3003', 'S13-2083', 'S13-2090', 'C10-2036']		['classic_monolingual_word-sense_disambiguation', 'word_sense', 'N07-1025', 'C02-1097', 'C10-1019', 'I05-1080']
7				['D09-1001', 'P09-1113', 'P07-1107', 'D09-1120', 'D08-1112', 'N04-4028', 'P08-1090', 'N07-4013', 'P04-1054']	['P98-1013', 'W04-2604', 'P03-2030', 'J05-1004', 'N06-2015', 'N07-1071', 'N07-1069', 'W04-2807', 'J02-3001', 'W05-0620', 'W05-0625', 'W05-0623', 'N06-1017', 'P09-2019']			['J03-4003', 'J07-4004', 'P02-1035', 'P95-1037', 'J93-1002', 'J98-4004', 'P96-1025', 'W97-0301', 'P99-1069', 'P05-1012', 'C04-1010', 'P08-1108', 'C96-1058', 'P02-1043', 'P01-1010', 'P04-1013', 'P05-1011', 'C92-2065', 'C02-1013', 'W07-2207', 'N07-1051', 'P03-1054']				['X93-1012', 'Douglas E Appelt and David J Israel, 1999, Introduction to Information Extraction Technology', 'J93-3001', 'M95-1002', 'X96-1047', 'D07-1075', 'W06-0901', 'W12-2412', 'E12-1034', 'D12-1062', 'M91-1007', 'M91-1004']	['C82-1018', 'E83-1022', 'C00-2111', 'E09-1069', 'T78-1008', 'N10-1032', 'D07-1050', 'H89-2011', 'N10-1059', 'W09-3729']			['parse_tree', 'terminal_and_non-terminal_functions', 'J08-4003', 'beam_search', 'D12-1029', 'E12-1008', 'C92-1032', 'J03-1006', 'P92-1006', 'H92-1025', 'C08-1071', 'P05-1022', 'H05-1099']				['J08-4003', 'J11-1007', 'beam_search', 'parse_tree', 'J03-1006', 'D12-1030', 'P12-1110', 'D12-1029', 'E12-1008', 'S12-1058']		['S13-2083', 'H05-1044', 'S13-2091', 'S13-2090', 'J09-3003']		['word_sense', 'classic_monolingual_word-sense_disambiguation', 'N07-1025', 'C10-1019', 'I05-1080', 'C02-1097']
8			['W01-0521', 'P07-1033', 'W08-1302', 'W06-1615', 'P06-1043', 'D08-1050', 'W07-2202', 'D07-1112', 'P07-1034']	['P04-1054', 'P09-1113', 'D09-1001', 'D08-1112', 'N04-4028', 'D09-1120', 'P07-1107', 'N07-4013']	['J02-3001', 'J05-1004', 'P98-1013', 'P03-2030', 'W04-2604', 'W05-0625', 'N07-1071', 'N07-1069', 'N06-2015', 'W05-0620', 'W05-0623', 'N06-1017', 'P09-2019']						['W10-0104', 'E09-1006', 'domain_adaptation', 'N10-1004']	['X93-1012', 'W06-0901', 'W12-2412', 'D07-1075', 'M95-1002', 'D12-1062']	['D07-1050', 'C82-1018', 'E09-1069', 'H89-2011', 'T78-1008', 'N10-1059', 'C00-2111']								['N04-1008', 'W08-1802', 'E06-3005', 'N07-1066', 'W04-2509', 'question_answering']	['Liu, 2010, Sentiment Analysis and Subjectivity', 'J09-3003', 'S13-2083', 'S13-2091', 'Su and Markert, 2008, From Words to Senses: a Case Study in Subjectivity Recognition', 'S13-2090']		['Navigli, ACM 2009, Word Sense Disambiguation: A Survey', 'N07-1025', 'word_sense', 'Agirre and Martinez, 2001, Knowledge Sources for WSD', 'C10-1019', 'classic_monolingual_word-sense_disambiguation', 'I05-1080', 'C02-1097']
